#auto generated file!
180.0;151;254;295
186.0;149;255;296
192.0;154;252;294
198.0;154;254;292
204.0;156;257;287
210.0;155;262;283
216.0;153;264;283
222.0;156;269;275
228.0;154;277;269
234.0;159;274;267
240.0;159;270;271
246.0;160;275;265
252.0;160;277;263
258.0;163;276;261
264.0;161;278;261
270.0;164;277;259
276.0;162;288;250
282.0;163;287;250
288.0;158;285;257
294.0;158;286;256
300.0;157;286;257
306.0;159;282;259
312.0;160;282;258
318.0;163;285;252
324.0;162;286;252
330.0;166;281;253
336.0;168;280;252
342.0;169;281;250
348.0;172;283;245
354.0;171;287;242
360.0;168;287;245
366.0;169;285;246
372.0;169;287;244
378.0;173;287;240
384.0;174;289;237
390.0;171;288;241
396.0;176;287;237
402.0;182;284;234
408.0;177;289;234
414.0;175;291;234
420.0;176;291;233
426.0;177;292;231
432.0;175;292;233
438.0;176;288;236
444.0;177;287;236
450.0;179;288;233
456.0;176;287;237
462.0;177;279;244
468.0;176;276;248
474.0;174;274;252
480.0;176;274;250
486.0;179;276;245
492.0;179;282;239
498.0;181;281;238
504.0;182;281;237
510.0;184;284;232
516.0;184;280;236
522.0;182;282;236
528.0;184;283;233
534.0;187;281;232
540.0;193;283;224
546.0;198;279;223
552.0;199;280;221
558.0;198;279;223
564.0;199;282;219
570.0;201;280;219
576.0;202;279;219
582.0;204;282;214
588.0;204;281;215
594.0;205;279;216
600.0;206;278;216
606.0;206;279;215
612.0;206;282;212
618.0;209;282;209
624.0;212;277;211
630.0;212;277;211
636.0;214;278;208
642.0;216;277;207
648.0;213;283;204
654.0;215;280;205
660.0;212;282;206
666.0;212;281;207
672.0;208;281;211
678.0;207;288;205
684.0;208;283;209
690.0;208;281;211
696.0;209;281;210
702.0;211;282;207
708.0;208;283;209
714.0;208;282;210
720.0;208;276;216
726.0;206;271;223
732.0;209;272;219
738.0;210;272;218
744.0;210;273;217
750.0;214;272;214
756.0;216;271;213
762.0;215;273;212
768.0;210;271;219
774.0;204;273;223
780.0;203;276;221
786.0;201;276;223
792.0;197;277;226
798.0;197;276;227
804.0;197;276;227
810.0;198;270;232
816.0;197;271;232
822.0;195;274;231
828.0;196;278;226
834.0;197;270;233
840.0;197;275;228
846.0;195;277;228
852.0;197;279;224
858.0;196;278;226
864.0;194;279;227
870.0;195;278;227
876.0;194;279;227
882.0;192;276;232
888.0;193;275;232
894.0;189;273;238
900.0;192;269;239
906.0;191;271;238
912.0;191;274;235
918.0;191;274;235
924.0;192;275;233
930.0;195;276;229
936.0;195;276;229
942.0;195;275;230
948.0;191;274;235
954.0;193;274;233
960.0;192;276;232
966.0;193;278;229
972.0;195;279;226
978.0;194;279;227
984.0;192;278;230
990.0;191;275;234
996.0;196;273;231
1002.0;195;274;231
1008.0;195;272;233
1014.0;199;265;236
1020.0;197;267;236
1026.0;195;271;234
1032.0;196;271;233
1038.0;195;270;235
1044.0;193;275;232
1050.0;195;274;231
1056.0;195;272;233
1062.0;194;271;235
1068.0;193;270;237
1074.0;191;264;245
1080.0;191;262;247
1086.0;189;267;244
1092.0;190;265;245
1098.0;188;269;243
1104.0;188;274;238
1110.0;190;273;237
1116.0;192;272;236
1122.0;194;273;233
1128.0;194;276;230
1134.0;196;276;228
1140.0;198;274;228
1146.0;198;267;235
1152.0;199;264;237
1158.0;200;261;239
1164.0;199;257;244
1170.0;199;257;244
1176.0;197;256;247
1182.0;202;246;252
1188.0;199;243;258
1194.0;197;246;257
